"DrainBonus","GrowthRate","Strategy","AvgNetWorth","WinRatePct"
"0.5","0.05","Loyalist","110.7","0"
"0.5","0.05","Backstabber","103.7","19.2"
"0.5","0.05","ReputationAware","112.9","28.8"
"0.5","0.05","Grudger","112.6","19.6"
"0.5","0.05","Opportunist","100.2","0"
"0.5","0.05","EndgameRational","112.8","32.4"
"0.5","0.1","Loyalist","123.1","34.4"
"0.5","0.1","Backstabber","108.4","0"
"0.5","0.1","ReputationAware","122.7","21.2"
"0.5","0.1","Grudger","122.9","23.6"
"0.5","0.1","Opportunist","110.5","4.8"
"0.5","0.1","EndgameRational","122.6","16"
"0.5","0.15","Loyalist","137","45.6"
"0.5","0.15","Backstabber","112.8","0"
"0.5","0.15","ReputationAware","133.9","14.4"
"0.5","0.15","Grudger","134.6","17.6"
"0.5","0.15","Opportunist","121.8","10.4"
"0.5","0.15","EndgameRational","134.5","12"
"0.5","0.2","Loyalist","153.2","44.4"
"0.5","0.2","Backstabber","117.3","0"
"0.5","0.2","ReputationAware","147.9","14.8"
"0.5","0.2","Grudger","148.6","15.2"
"0.5","0.2","Opportunist","135.1","12.4"
"0.5","0.2","EndgameRational","147.5","13.2"
"0.65","0.05","Loyalist","99.9","0"
"0.65","0.05","Backstabber","117.7","51.6"
"0.65","0.05","ReputationAware","111.2","5.6"
"0.65","0.05","Grudger","109.8","4"
"0.65","0.05","Opportunist","101.9","0"
"0.65","0.05","EndgameRational","114.6","38.8"
"0.65","0.1","Loyalist","110.4","2.4"
"0.65","0.1","Backstabber","122.7","37.6"
"0.65","0.1","ReputationAware","120.9","4.4"
"0.65","0.1","Grudger","120.3","5.6"
"0.65","0.1","Opportunist","111.7","2.8"
"0.65","0.1","EndgameRational","124.7","47.2"
"0.65","0.15","Loyalist","124.4","5.2"
"0.65","0.15","Backstabber","126.5","21.6"
"0.65","0.15","ReputationAware","132.4","12.8"
"0.65","0.15","Grudger","131.4","10"
"0.65","0.15","Opportunist","122.4","5.2"
"0.65","0.15","EndgameRational","136.9","45.2"
"0.65","0.2","Loyalist","140.1","14"
"0.65","0.2","Backstabber","131","5.6"
"0.65","0.2","ReputationAware","145.1","16.4"
"0.65","0.2","Grudger","144.6","13.2"
"0.65","0.2","Opportunist","132.9","12"
"0.65","0.2","EndgameRational","150.1","38.8"
"0.8","0.05","Loyalist","86.2","0"
"0.8","0.05","Backstabber","132.5","72.4"
"0.8","0.05","ReputationAware","109.7","2"
"0.8","0.05","Grudger","107.4","1.6"
"0.8","0.05","Opportunist","102.8","0"
"0.8","0.05","EndgameRational","116.2","24"
"0.8","0.1","Loyalist","100.1","2.4"
"0.8","0.1","Backstabber","135","59.6"
"0.8","0.1","ReputationAware","119.2","2.4"
"0.8","0.1","Grudger","117.3","1.2"
"0.8","0.1","Opportunist","112.6","1.6"
"0.8","0.1","EndgameRational","126.3","32.8"
"0.8","0.15","Loyalist","110.6","4"
"0.8","0.15","Backstabber","142.2","45.2"
"0.8","0.15","ReputationAware","129.9","4"
"0.8","0.15","Grudger","128.3","4.8"
"0.8","0.15","Opportunist","123.9","4"
"0.8","0.15","EndgameRational","139","38"
"0.8","0.2","Loyalist","123.9","5.6"
"0.8","0.2","Backstabber","149.8","30.4"
"0.8","0.2","ReputationAware","142.6","8"
"0.8","0.2","Grudger","141.4","7.6"
"0.8","0.2","Opportunist","138.8","12.8"
"0.8","0.2","EndgameRational","152.9","35.6"
"0.95","0.05","Loyalist","76.3","0"
"0.95","0.05","Backstabber","145.6","84"
"0.95","0.05","ReputationAware","107.6","0.8"
"0.95","0.05","Grudger","104.6","1.6"
"0.95","0.05","Opportunist","104.3","0"
"0.95","0.05","EndgameRational","117.8","13.6"
"0.95","0.1","Loyalist","88.4","1.2"
"0.95","0.1","Backstabber","148.1","69.2"
"0.95","0.1","ReputationAware","117.1","3.6"
"0.95","0.1","Grudger","114.2","1.2"
"0.95","0.1","Opportunist","113.7","1.6"
"0.95","0.1","EndgameRational","129.1","23.2"
"0.95","0.15","Loyalist","101.5","3.2"
"0.95","0.15","Backstabber","152.8","52.4"
"0.95","0.15","ReputationAware","126.9","2"
"0.95","0.15","Grudger","126.1","4"
"0.95","0.15","Opportunist","125.8","4"
"0.95","0.15","EndgameRational","141.3","34.4"
"0.95","0.2","Loyalist","112.6","2.8"
"0.95","0.2","Backstabber","163.1","45.6"
"0.95","0.2","ReputationAware","141.6","4.8"
"0.95","0.2","Grudger","136.4","4"
"0.95","0.2","Opportunist","140.5","7.6"
"0.95","0.2","EndgameRational","156","35.2"
