DrainBonus,GrowthRate,Strategy,AvgNetWorth,WinRatePct
0.5,0.05,Loyalist,110.7,0.0
0.5,0.05,Backstabber,105.3,23.0
0.5,0.05,ReputationAware,112.9,25.4
0.5,0.05,Grudger,112.7,24.4
0.5,0.05,Opportunist,101.5,0.0
0.5,0.05,EndgameRational,112.8,27.2
0.5,0.1,Loyalist,123.0,36.6
0.5,0.1,Backstabber,108.4,0.0
0.5,0.1,ReputationAware,122.8,18.4
0.5,0.1,Grudger,122.8,20.8
0.5,0.1,Opportunist,110.5,6.8
0.5,0.1,EndgameRational,122.6,17.4
0.5,0.15,Loyalist,137.1,45.2
0.5,0.15,Backstabber,113.2,0.0
0.5,0.15,ReputationAware,134.3,15.2
0.5,0.15,Grudger,134.5,14.0
0.5,0.15,Opportunist,122.5,11.4
0.5,0.15,EndgameRational,134.2,14.2
0.5,0.2,Loyalist,153.6,50.8
0.5,0.2,Backstabber,116.8,0.0
0.5,0.2,ReputationAware,147.5,13.4
0.5,0.2,Grudger,148.2,15.0
0.5,0.2,Opportunist,134.4,8.6
0.5,0.2,EndgameRational,147.5,12.2
0.6,0.05,Loyalist,102.8,0.0
0.6,0.05,Backstabber,114.3,48.2
0.6,0.05,ReputationAware,111.8,7.0
0.6,0.05,Grudger,111.0,5.6
0.6,0.05,Opportunist,102.2,0.0
0.6,0.05,EndgameRational,114.0,39.2
0.6,0.1,Loyalist,115.0,3.2
0.6,0.1,Backstabber,118.4,31.2
0.6,0.1,ReputationAware,121.3,7.8
0.6,0.1,Grudger,120.8,7.6
0.6,0.1,Opportunist,112.2,2.2
0.6,0.1,EndgameRational,124.0,48.0
0.6,0.15,Loyalist,128.0,9.2
0.6,0.15,Backstabber,123.4,11.4
0.6,0.15,ReputationAware,132.9,14.6
0.6,0.15,Grudger,132.6,15.4
0.6,0.15,Opportunist,123.2,12.8
0.6,0.15,EndgameRational,135.8,36.6
0.6,0.2,Loyalist,144.7,15.8
0.6,0.2,Backstabber,126.2,1.0
0.6,0.2,ReputationAware,146.4,18.0
0.6,0.2,Grudger,145.5,14.0
0.6,0.2,Opportunist,134.3,16.0
0.6,0.2,EndgameRational,149.6,35.2
0.65,0.05,Loyalist,99.1,0.0
0.65,0.05,Backstabber,117.0,51.6
0.65,0.05,ReputationAware,111.4,5.4
0.65,0.05,Grudger,110.1,5.6
0.65,0.05,Opportunist,101.1,0.0
0.65,0.05,EndgameRational,114.5,37.4
0.65,0.1,Loyalist,110.7,2.6
0.65,0.1,Backstabber,123.2,41.0
0.65,0.1,ReputationAware,121.1,5.8
0.65,0.1,Grudger,119.4,5.0
0.65,0.1,Opportunist,112.4,2.8
0.65,0.1,EndgameRational,124.7,42.8
0.65,0.15,Loyalist,123.1,7.8
0.65,0.15,Backstabber,127.5,19.4
0.65,0.15,ReputationAware,132.6,12.4
0.65,0.15,Grudger,131.4,9.2
0.65,0.15,Opportunist,122.1,8.8
0.65,0.15,EndgameRational,136.9,42.4
0.65,0.2,Loyalist,140.3,12.0
0.65,0.2,Backstabber,131.4,6.6
0.65,0.2,ReputationAware,145.6,16.2
0.65,0.2,Grudger,144.9,14.6
0.65,0.2,Opportunist,135.3,16.2
0.65,0.2,EndgameRational,149.2,34.4
0.7,0.05,Loyalist,94.7,0.0
0.7,0.05,Backstabber,122.2,60.4
0.7,0.05,ReputationAware,110.8,5.2
0.7,0.05,Grudger,108.9,2.6
0.7,0.05,Opportunist,101.7,0.0
0.7,0.05,EndgameRational,115.2,31.8
0.7,0.1,Loyalist,106.6,2.2
0.7,0.1,Backstabber,127.9,48.6
0.7,0.1,ReputationAware,120.1,5.6
0.7,0.1,Grudger,118.9,4.2
0.7,0.1,Opportunist,112.9,2.0
0.7,0.1,EndgameRational,125.7,37.4
0.7,0.15,Loyalist,119.1,3.8
0.7,0.15,Backstabber,133.0,30.4
0.7,0.15,ReputationAware,131.9,10.4
0.7,0.15,Grudger,130.6,9.4
0.7,0.15,Opportunist,123.8,7.4
0.7,0.15,EndgameRational,137.2,38.6
0.7,0.2,Loyalist,134.0,7.8
0.7,0.2,Backstabber,138.2,15.8
0.7,0.2,ReputationAware,144.7,12.2
0.7,0.2,Grudger,143.6,10.0
0.7,0.2,Opportunist,136.5,14.8
0.7,0.2,EndgameRational,151.3,39.4
0.8,0.05,Loyalist,87.9,0.0
0.8,0.05,Backstabber,131.0,70.2
0.8,0.05,ReputationAware,110.0,0.8
0.8,0.05,Grudger,106.5,0.4
0.8,0.05,Opportunist,102.4,0.0
0.8,0.05,EndgameRational,116.5,28.6
0.8,0.1,Loyalist,99.7,3.0
0.8,0.1,Backstabber,135.6,60.4
0.8,0.1,ReputationAware,119.0,3.0
0.8,0.1,Grudger,117.2,3.4
0.8,0.1,Opportunist,112.4,0.6
0.8,0.1,EndgameRational,126.7,29.6
0.8,0.15,Loyalist,110.8,4.2
0.8,0.15,Backstabber,143.0,43.2
