DrainBonus,GrowthRate,Strategy,AvgNetWorth,WinRatePct
0.5,0.05,Loyalist,108.1,0.0
0.5,0.05,Backstabber,93.0,0.8
0.5,0.05,ReputationAware,112.9,32.8
0.5,0.05,Grudger,112.7,31.8
0.5,0.05,Opportunist,96.2,0.0
0.5,0.05,EndgameRational,112.8,34.6
0.5,0.1,Loyalist,120.0,6.6
0.5,0.1,Backstabber,96.1,0.0
0.5,0.1,ReputationAware,122.8,31.4
0.5,0.1,Grudger,122.8,30.0
0.5,0.1,Opportunist,104.3,7.2
0.5,0.1,EndgameRational,122.6,24.8
0.5,0.15,Loyalist,133.9,20.4
0.5,0.15,Backstabber,101.1,0.0
0.5,0.15,ReputationAware,134.3,22.6
0.5,0.15,Grudger,134.5,23.8
0.5,0.15,Opportunist,116.3,12.2
0.5,0.15,EndgameRational,134.2,21.0
0.5,0.2,Loyalist,150.0,28.2
0.5,0.2,Backstabber,104.5,0.0
0.5,0.2,ReputationAware,147.5,20.6
0.5,0.2,Grudger,148.2,22.0
0.5,0.2,Opportunist,127.7,8.8
0.5,0.2,EndgameRational,147.5,20.4
0.6,0.05,Loyalist,100.4,0.0
0.6,0.05,Backstabber,101.7,15.8
0.6,0.05,ReputationAware,111.8,14.0
0.6,0.05,Grudger,111.0,10.2
0.6,0.05,Opportunist,96.6,0.4
0.6,0.05,EndgameRational,114.0,59.6
0.6,0.1,Loyalist,112.6,2.4
0.6,0.1,Backstabber,106.1,5.0
0.6,0.1,ReputationAware,121.3,11.0
0.6,0.1,Grudger,120.8,10.0
0.6,0.1,Opportunist,106.6,12.8
0.6,0.1,EndgameRational,124.0,58.8
0.6,0.15,Loyalist,125.3,6.0
0.6,0.15,Backstabber,111.1,2.2
0.6,0.15,ReputationAware,132.9,17.0
0.6,0.15,Grudger,132.6,17.2
0.6,0.15,Opportunist,117.3,16.4
0.6,0.15,EndgameRational,135.8,41.2
0.6,0.2,Loyalist,141.9,11.2
0.6,0.2,Backstabber,114.1,0.0
0.6,0.2,ReputationAware,146.4,20.6
0.6,0.2,Grudger,145.5,15.8
0.6,0.2,Opportunist,127.7,15.0
0.6,0.2,EndgameRational,149.6,37.4
0.65,0.05,Loyalist,96.9,0.0
0.65,0.05,Backstabber,104.7,24.6
0.65,0.05,ReputationAware,111.4,10.6
0.65,0.05,Grudger,110.1,8.4
0.65,0.05,Opportunist,95.1,1.0
0.65,0.05,EndgameRational,114.5,55.4
0.65,0.1,Loyalist,108.3,1.8
0.65,0.1,Backstabber,110.5,13.8
0.65,0.1,ReputationAware,121.1,11.6
0.65,0.1,Grudger,119.4,8.6
0.65,0.1,Opportunist,106.6,8.2
0.65,0.1,EndgameRational,124.7,56.0
0.65,0.15,Loyalist,120.5,5.2
0.65,0.15,Backstabber,115.1,7.0
0.65,0.15,ReputationAware,132.6,16.6
0.65,0.15,Grudger,131.4,11.8
0.65,0.15,Opportunist,115.5,10.8
0.65,0.15,EndgameRational,136.9,48.6
0.65,0.2,Loyalist,137.6,8.8
0.65,0.2,Backstabber,119.2,1.8
0.65,0.2,ReputationAware,145.6,19.2
0.65,0.2,Grudger,144.9,16.8
0.65,0.2,Opportunist,128.8,16.0
0.65,0.2,EndgameRational,149.2,37.4
0.7,0.05,Loyalist,92.7,0.0
0.7,0.05,Backstabber,109.6,32.4
0.7,0.05,ReputationAware,110.8,7.0
0.7,0.05,Grudger,108.9,4.6
0.7,0.05,Opportunist,95.7,1.6
0.7,0.05,EndgameRational,115.2,54.4
0.7,0.1,Loyalist,104.4,1.6
0.7,0.1,Backstabber,115.0,21.0
0.7,0.1,ReputationAware,120.1,9.0
0.7,0.1,Grudger,118.9,6.0
0.7,0.1,Opportunist,106.9,6.6
0.7,0.1,EndgameRational,125.7,55.8
0.7,0.15,Loyalist,116.7,2.2
0.7,0.15,Backstabber,120.2,14.0
0.7,0.15,ReputationAware,131.9,13.2
0.7,0.15,Grudger,130.6,12.4
0.7,0.15,Opportunist,117.4,12.2
0.7,0.15,EndgameRational,137.2,46.0
0.7,0.2,Loyalist,131.3,4.6
0.7,0.2,Backstabber,125.6,6.0
0.7,0.2,ReputationAware,144.7,16.0
0.7,0.2,Grudger,143.6,13.8
0.7,0.2,Opportunist,129.8,15.6
0.7,0.2,EndgameRational,151.3,44.0
0.8,0.05,Loyalist,86.3,0.0
